time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
5439179,364,1,1838732,1838732,5439179,3600447,3600447,658429,2942018,9,270,0
5442322,732,1,3027879,3027879,5442322,2414443,2414443,822972,1591471,22,660,0
5474569,990,4,5451075,5451075,5474569,23494,23494,23494,0,0,0,0
5477386,333,1,1838407,1838407,5477386,3638979,3638979,860427,2778552,9,270,0
5484479,246,2,1743125,1743125,5484479,3741354,3741354,273633,3467721,8,160,0
5499948,805,1,3028056,3028056,5499948,2471892,2471892,814807,1657085,22,1100,0
5563068,996,2,5560659,5560659,5563068,2409,2409,2409,0,0,0,0
5582698,995,2,5560655,5560655,5582698,22043,22043,22043,0,0,0,0
5611097,992,2,5560635,5560635,5611097,50462,50462,50462,0,0,0,0
5649801,1006,4,5564836,5566253,5649801,83548,84965,83548,1417,0,0,0
5683663,993,2,5560636,5560636,5683663,123027,123027,123027,0,0,0,0
5722842,1011,4,5640888,5641064,5722842,81778,81954,81778,176,0,0,0
5725818,1022,4,5641116,5649801,5725818,76017,84702,76017,8685,0,0,0
5730936,1026,4,5654163,5654178,5730936,76758,76773,76758,15,0,0,0
5738747,287,1,1837931,1837931,5738747,3900816,3900816,712381,3188435,9,270,0
5783300,1015,4,5640945,5641113,5783300,142187,142355,142187,168,0,0,0
5873838,796,1,3028037,3028037,5873838,2845801,2845801,895346,1950455,25,250,0
5962745,793,1,3028029,3028029,5962745,2934716,2934716,984253,1950463,25,750,0
5963379,1014,4,5640943,5641096,5963379,322283,322436,142838,179598,1,30,0
5974125,285,1,1837914,1837914,5974125,4136211,4136211,955811,3180400,9,450,0
5993220,496,4,2230304,2230304,5993220,3762916,3762916,256120,3506796,11,550,0
5999118,991,2,5560622,5560622,5999118,438496,438496,438496,0,0,0,0
6004133,650,1,3027558,3027558,6004133,2976575,2976575,569118,2407457,10,600,0
6024341,797,1,3028040,3028040,6024341,2996301,2996301,895174,2101127,23,1150,0
6078749,464,4,2230184,2230187,6078749,3848562,3848565,225193,3623372,9,360,0
6108208,157,2,961164,961164,6108208,5147044,5147044,509379,4637665,7,420,0
6122887,753,1,3027927,3027927,6122887,3094960,3094960,968723,2126237,24,1440,0
6141013,1034,1,6032624,6032624,6141013,108389,108389,108389,0,0,0,0
6163406,1039,1,6032659,6032659,6163406,130747,130747,130747,0,0,0,0
6164767,1037,1,6032640,6032640,6164767,132127,132127,132127,0,0,0,0
6253324,1044,4,6243278,6243278,6253324,10046,10046,7981,2065,1,10,0
6259362,1068,4,6243609,6243683,6259362,15679,15753,7136,8617,4,80,0
6287576,1061,4,6243525,6243588,6287576,43988,44051,35354,8697,6,180,0
6290119,1069,4,6243620,6243683,6290119,46436,46499,9679,36820,6,60,0
6294362,1084,4,6243823,6243823,6294362,50539,50539,13925,36614,4,240,0
6299100,1067,4,6243598,6243657,6299100,55443,55502,18665,36837,6,300,0
6300321,1078,4,6243744,6243744,6300321,56577,56577,15937,40640,4,80,0
6309978,1091,4,6243915,6243915,6309978,66063,66063,23638,42425,3,150,0
6314689,1079,4,6243756,6243756,6314689,70933,70933,24592,46341,6,180,0
6330589,1102,4,6244057,6244057,6330589,86532,86532,44169,42363,2,20,0
6337219,1120,4,6244319,6244319,6337219,92900,92900,36210,56690,3,120,0
6338725,1081,4,6243778,6243778,6338725,94947,94947,43006,51941,6,240,0
6363807,1053,4,6243404,6243436,6363807,120371,120403,61941,58462,3,90,0
6372712,1077,4,6243734,6243734,6372712,128978,128978,49397,79581,7,70,0
6409450,1065,4,6243576,6243632,6409450,165818,165874,104821,61053,8,80,0
6413811,1098,4,6244006,6244006,6413811,169805,169805,55211,114594,3,120,0
6433590,1097,4,6243996,6243996,6433590,189594,189594,75000,114594,3,90,0
6437354,1099,4,6244017,6244017,6437354,193337,193337,78743,114594,3,150,0
6445180,1072,4,6243657,6243703,6445180,201477,201523,86609,114914,7,70,0
6446295,1048,4,6243329,6243370,6446295,202925,202966,50475,152491,6,60,0
6530579,1124,2,6511338,6511338,6530579,19241,19241,19241,0,0,0,0
6549998,1117,4,6244249,6244249,6549998,305749,305749,149856,155893,6,300,0
6633917,1040,1,6032665,6032665,6633917,601252,601252,413041,188211,3,30,0
6647149,701,1,3027720,3027720,6647149,3619429,3619429,821383,2798046,27,1080,0
6685721,1126,4,6665528,6665528,6685721,20193,20193,20193,0,0,0,0
6694174,621,1,3027267,3027267,6694174,3666907,3666907,671478,2995429,24,240,0
6712138,676,1,3027644,3027644,6712138,3684494,3684494,669987,3014507,22,220,0
6742679,1113,4,6244190,6244190,6742679,498489,498489,260357,238132,7,280,0
6755317,1129,4,6691730,6691730,6755317,63587,63587,63587,0,0,0,0
