time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
89932743,842,1,3028136,3031047,89932743,86901696,86904607,36738,86867869,1,50,0
90060221,843,1,3028139,3031069,90060221,87029152,87032082,130728,86901354,1,40,0
90130139,823,1,3028090,3030959,90130139,87099180,87102049,1210561,85891488,1,20,0
90142746,841,1,3028134,3031028,90142746,87111718,87114612,310023,86804589,1,50,0
90142779,845,1,3028204,3033517,90142779,87109262,87114575,15890,87098685,1,10,0
90153653,844,1,3028157,3033111,90153653,87120542,87125496,96682,87028814,1,10,0
90160814,846,1,3028215,3033520,90160814,87127294,87132599,21318,87111281,1,40,0
90170797,847,1,3028440,3033531,90170797,87137266,87142357,31268,87111089,1,50,0
90186646,876,1,3867169,3867169,90186646,86319477,86319477,29082,86290395,1,50,0
90190376,902,1,4098906,4098906,90190376,86091470,86091470,22829,86068641,1,20,0
90198009,773,1,3027984,3030761,90198009,87167248,87170025,4743023,82427002,1,10,0
90243052,848,1,3028452,3033543,90243052,87209509,87214600,92649,87121951,1,60,0
90282494,840,1,3028131,3031003,90282494,87251491,87254363,459529,86794834,1,30,0
90375388,770,1,3027973,3030657,90375388,87344731,87347415,5011128,82336287,1,50,0
90378865,829,1,3028108,3030970,90378865,87347895,87350757,935385,86415372,1,30,0
90381865,811,1,3028068,3030916,90381865,87350949,87353797,2210896,85142901,1,10,0
90446900,836,1,3028121,3030985,90446900,87415915,87418779,733634,86685145,1,60,0
90479219,764,1,3027961,3030612,90479219,87448607,87451258,5206422,82244836,1,10,0
90666031,618,1,3027241,3027241,90666031,87638790,87638790,15037118,72601672,1,10,0
90791435,694,1,3027709,3027709,90791435,87763726,87763726,10226242,77537484,1,40,0
90796656,727,1,3027870,3030351,90796656,87766305,87768786,7718225,80050561,1,10,0
90822725,818,1,3028081,3030940,90822725,87791785,87794644,2247952,85546692,1,10,0
90881459,714,1,3027797,3027797,90881459,87853662,87853662,8704507,79149155,1,30,0
91028034,833,1,3028116,3030978,91028034,87997056,87999918,1397982,86601936,1,20,0
91176553,803,1,3028053,3030891,91176553,88145662,88148500,3763461,84385039,1,40,0
91225272,789,1,3028019,3030853,91225272,88194419,88197253,5164858,83032395,1,10,0
91227418,662,1,3027607,3027607,91227418,88199811,88199811,12616278,75583533,1,50,0
91322960,791,1,3028025,3030860,91322960,88292100,88294935,5173315,83121620,1,40,0
91575264,802,1,3028049,3030891,91575264,88544373,88547215,4219731,84327484,1,30,0
92047821,645,1,3027511,3027511,92047821,89020310,89020310,14400888,74619422,1,30,0
92181676,991,2,5560622,5560622,92181676,86621054,86621054,438496,86182558,3,120,0
92230507,992,2,5560635,5560635,92230507,86669872,86669872,50462,86619410,1,60,0
92351904,993,2,5560636,5560636,92351904,86791268,86791268,123027,86668241,1,30,0
92601517,817,1,3028079,3030938,92601517,89570579,89573438,4105939,85467499,1,20,0
92846432,631,1,3027329,3027329,92846432,89819103,89819103,16472151,73346952,1,40,0
92859060,626,1,3027290,3027290,92859060,89831770,89831770,16551178,73280592,1,30,0
92963848,527,4,2230442,2232002,92963848,90731846,90733406,33832112,56901294,1,40,0
93134596,772,1,3027981,3030742,93134596,90103854,90106615,7770336,82336279,1,20,0
93188061,612,1,3027177,3027177,93188061,90160884,90160884,17559148,72601736,1,30,0
93219052,994,2,5560640,5560640,93219052,87658412,87658412,580610,87077802,2,40,0
93238682,995,2,5560655,5560655,93238682,87678027,87678027,22043,87655984,1,20,0
93292428,813,1,3028071,3030923,93292428,90261505,90264357,5079055,85185302,1,20,0
93300486,663,1,3027610,3027610,93300486,90272876,90272876,14689346,75583530,1,20,0
93413578,769,1,3027972,3030653,93413578,90382925,90385606,8049318,82336288,1,20,0
93904394,824,1,3028094,3030963,93904394,90873431,90876300,4880655,85995645,1,10,0
93917978,850,4,3721489,3721493,93917978,90196485,90196489,505281,89691208,1,30,0
93935458,806,1,3028059,3030897,93935458,90904561,90907399,6308479,84598920,1,40,0
94151233,799,1,3028044,3030883,94151233,91120350,91123189,7074462,84048727,1,60,0
94243633,795,1,3028033,3030875,94243633,91212758,91215600,7821038,83394562,1,20,0
94395091,717,1,3027850,3030270,94395091,91364821,91367241,12036657,79330584,1,20,0
94459651,498,4,2230311,2231189,94459651,92228462,92229340,41346462,50882878,1,30,0
94534223,851,4,3721493,3721496,94534223,90812727,90812730,617123,90195607,1,50,0
94728592,849,4,3721485,3721485,94728592,91007107,91007107,1765633,89241474,1,60,0
95061135,754,1,3027930,3030540,95061135,92030595,92033205,9900317,82132888,1,50,0
95132182,854,4,3721503,3721507,95132182,91410675,91410679,404457,91006222,1,30,0
95354920,687,1,3027680,3027680,95354920,92327240,92327240,15203688,77123552,1,30,0
95370858,1031,1,6032585,6032585,95370858,89338273,89338273,3280732,86057541,17,1020,0
95373925,852,4,3721496,3721500,95373925,91652425,91652429,915148,90737281,1,40,0
95421330,856,4,3721511,3721514,95421330,91699816,91699819,48265,91651554,1,60,0
95441856,855,4,3721507,3721511,95441856,91720345,91720349,310537,91409812,1,40,0
95458545,710,1,3027739,3027739,95458545,92430806,92430806,13584084,78846722,1,20,0
95770945,690,1,3027690,3027690,95770945,92743255,92743255,15205752,77537503,1,40,0
95876084,1034,1,6032624,6032624,95876084,89843460,89843460,108389,89735071,1,30,0
95888025,742,1,3027900,3030445,95888025,92857580,92860125,11375593,81484532,1,10,0
96110781,744,1,3027906,3030464,96110781,93080317,93082875,11406248,81676627,1,40,0
96314694,743,1,3027903,3030457,96314694,93284237,93286791,11661639,81625152,1,10,0
96837233,857,4,3721514,3721518,96837233,93115715,93115719,1416759,91698960,1,20,0
96930926,784,1,3028008,3030845,96930926,93900081,93902918,11137876,82765042,1,60,0
97175454,767,1,3027969,3030638,97175454,94144816,94147485,11835233,82312252,1,30,0
97482262,778,1,3027993,3030808,97482262,94451454,94454269,11870304,82583965,1,20,0
97519999,619,1,3027259,3027259,97519999,94492740,94492740,21731511,72761229,1,20,0
97661356,860,4,3721525,3721529,97661356,93939827,93939831,179939,93759892,1,10,0
97717253,858,4,3721518,3721522,97717253,93995731,93995735,2276249,91719486,1,50,0
97717947,861,4,3721529,3721533,97717947,93996414,93996418,57432,93938986,1,20,0
97785892,596,1,3027073,3027073,97785892,94758819,94758819,23610870,71147949,1,40,0
98095785,1032,1,6032613,6032613,98095785,92063172,92063172,3591741,88471431,6,300,0
98185207,859,4,3721522,3721525,98185207,94463682,94463685,1348823,93114862,1,30,0
98289545,751,1,3027923,3030524,98289545,95259021,95261622,13302256,81959366,1,50,0
99418181,610,1,3027164,3027164,99418181,96391017,96391017,23943297,72447720,1,20,0
99590536,863,4,3721537,3721545,99590536,95868991,95868999,1873418,93995581,1,30,0
99910249,731,1,3027877,3030383,99910249,96879866,96882372,16422529,80459843,1,30,0
