job_id,model_name,duration,submit_time,num_gpu,,,
625,b,42974594,3027282,1,,,
626,c,16551178,3027290,1,,,
627,b,657192,3027298,1,,,
628,c,60223891,3027310,1,,,
629,c,1782664,3027317,1,,,
630,e,2098094,3027324,1,,,
631,d,16472151,3027329,1,,,
632,f,27069565,3027344,1,,,
633,c,2060478,3027348,1,,,
634,c,1719918,3027351,1,,,
635,b,27096646,3027354,1,,,
636,f,245203,3027362,1,,,
637,f,38364030,3027365,1,,,
638,d,323198,3027369,1,,,
639,e,7537896,3027388,1,,,
640,a,7694481,3027400,1,,,
641,c,57609135,3027403,1,,,
642,c,42960521,3027407,1,,,
643,f,1210358,3027432,1,,,
644,e,7461438,3027492,1,,,
645,c,14400888,3027511,1,,,
646,b,63982818,3027514,1,,,
647,d,1295049,3027523,1,,,
648,c,3576923,3027529,1,,,
649,f,277455,3027552,1,,,
650,f,569118,3027558,1,,,
651,f,1472801,3027565,1,,,
652,b,1373932,3027573,1,,,
653,f,1795342,3027576,1,,,
654,e,21606481,3027580,1,,,
655,b,6350947,3027588,1,,,
656,c,132807,3027595,1,,,
657,b,5577055,3027595,1,,,
658,a,3043807,3027598,1,,,
659,c,4398980,3027599,1,,,
660,b,345862,3027602,1,,,
661,c,3874871,3027603,1,,,
662,e,12616278,3027607,1,,,
663,b,14689346,3027610,1,,,
664,f,86303413,3027613,1,,,
665,b,581854,3027622,1,,,
666,e,8426857,3027624,1,,,
667,f,47282064,3027625,1,,,
668,b,21506578,3027628,1,,,
669,f,155841,3027629,1,,,
670,e,23870780,3027631,1,,,
671,f,182679,3027633,1,,,
672,b,261234,3027637,1,,,
673,c,6225310,3027637,1,,,
674,f,2207872,3027641,1,,,
675,c,2466052,3027641,1,,,
676,a,669987,3027644,1,,,
677,a,28519602,3027645,1,,,
678,b,9990354,3027647,1,,,
679,c,2637872,3027651,1,,,
680,e,2185644,3027652,1,,,
681,d,2604964,3027658,1,,,
682,a,20402440,3027662,1,,,
683,e,9685005,3027666,1,,,
684,b,60238097,3027667,1,,,
685,e,117652,3027673,1,,,
686,f,5222121,3027677,1,,,
687,c,15203688,3027680,1,,,
688,a,22880474,3027681,1,,,
689,d,7905942,3027688,1,,,
690,d,15205752,3027690,1,,,
691,e,2988333,3027692,1,,,
692,d,61676,3027697,1,,,
693,a,2356754,3027701,1,,,
694,d,10226242,3027709,1,,,
695,b,178988,3027709,1,,,
696,b,19551090,3027713,1,,,
697,d,59701,3027713,1,,,
698,d,1662951,3027716,1,,,
699,b,1744544,3027717,1,,,
700,d,1029324,3027720,1,,,
701,d,821383,3027720,1,,,
702,a,106818,3027724,1,,,
703,a,103729,3027724,1,,,
704,b,51127227,3027727,1,,,
705,d,5635050,3027728,1,,,
706,e,20671255,3027731,1,,,
707,f,6847163,3027731,1,,,
708,d,165634,3027735,1,,,
709,d,1227487,3027735,1,,,
710,b,13584084,3027739,1,,,
711,d,61296,3027739,1,,,
712,b,3680618,3027753,1,,,
713,a,96485,3027778,1,,,
714,c,8704507,3027797,1,,,
715,f,136209,3027819,1,,,
716,c,98724,3027848,1,,,
717,b,12036657,3027850,1,,,
718,c,2638381,3027852,1,,,
719,e,1337368,3027854,1,,,
720,e,3074442,3027856,1,,,
721,b,1519323,3027858,1,,,
722,d,1043335,3027860,1,,,
723,e,3352895,3027862,1,,,
724,e,110742,3027864,1,,,
725,b,123289,3027866,1,,,
726,b,852768,3027868,1,,,
727,a,7718225,3027870,1,,,
728,e,23968300,3027872,1,,,
729,b,1246710,3027873,1,,,
730,b,1764117,3027876,1,,,
731,c,16422529,3027877,1,,,
732,c,822972,3027879,1,,,
733,f,1440263,3027881,1,,,
734,c,1342363,3027883,1,,,
735,e,2298019,3027885,1,,,
736,e,112378,3027887,1,,,
737,e,1486599,3027891,1,,,
738,e,1936442,3027892,1,,,
739,e,2243204,3027896,1,,,
740,a,1150794,3027896,1,,,
741,d,54639,3027899,1,,,
742,a,11375593,3027900,1,,,
743,a,11661639,3027903,1,,,
744,d,11406248,3027906,1,,,
745,a,37088907,3027908,1,,,
746,b,491005,3027911,1,,,
747,d,16766349,3027915,1,,,
